Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,,,Product Image 1 Url,Product Image 2 Url
,bl-ftd,Pure Linen Fitted Sheet,,Fitted Sheet Composition 100% linen Colour  Optical White Size Queen 152x203+50 ,published,,,,,,,,,,,,,TRUE,,,Fitted Sheet  Colour  Optical White Size Queen 152x203+50 ,Colour,Optical White,Size,Queen - 152cm x 203cm + 50cm,,BL_FTD_WQL,,FALSE,TRUE,,,,,,,,,,550,,,,
,bl-ftd,Pure Linen Fitted Sheet,,Fitted Sheet Composition 100% linen Colour Optical White Size Single 91x193x50 ,published,,,,,,,,,,,,,TRUE,,,Fitted Sheet  Colour Optical White  Size Single 91x193x50 Made in Lithuania,Colour,Optical White,Size,Single - 91cm x 193cm + 50cm,,BL_FTD_WSL,,FALSE,TRUE,,,,,,,,,,219.99,,,,
,bl-ftd,Pure Linen Fitted Sheet,,Fitted Sheet Composition 100% linen Colour Optical White Size King Single 107x203x50 ,published,,,,,,,,,,,,,TRUE,,,Fitted Sheet  Colour Optical White Size King Single 107x203x50 Made in Lithuania,Colour,Optical White,Size,King Sinlge - 107cm x 203cm + 50cm,,BL_FTD_WKS,,FALSE,TRUE,,,,,,,,,,234.99,,,,
,bl-imp-pc,Imperial Pillow Case (Set of 2),,Imperial Pillow Case Damask Hem Stitched Composition 100% linen Colour Sky Blue & Silver Grey Flax Size 65x65 ,published,,,,,,,,,,,,,TRUE,,,Set of x 2 Imperial Pillow Case Damask Hem Stitched  Colour Sky Blue & Silver Grey Flax Size 65x65 ,Colour,Sky Blue & Silver Grey Flax ,,,,BL_IMP_PCIB65,,FALSE,TRUE,,,,,,,,,,240,,,,
,bl-imp-pc,Imperial Pillow Case (Set of 2),,Imperial Pillow Case Damask Hem Stitched Colour Sage Silver Grey Flax Size 48x73,published,,,,,,,,,,,,,TRUE,,,Set of x 2 Imperial Pillow Case Damask Hem Stitched Colour Sage Silver Grey Flax Size 65x65,Colour,Sage Silver Grey Flax,,,,BL_IMP_PCSG65,,FALSE,TRUE,,,,,,,,,,240,,,,
,bl-ning-br,NINGALOO Bed Runner,,Ningaloo Bed Runner Stonewashed Blue 100% linen Size 140x220 Printed and made in Australia,published,,,,,,,,,,,,,TRUE,,,Ningaloo Bed Runner Stonewashed Blue 100% linen Size 140x220 Printed and made in Australia,Colour,Blue,Size,140cm x 220cm,,BL_NING_BRB220,,FALSE,TRUE,,,,,,,,,,569,,,,
,bl-ning-br,NINGALOO Bed Runner,,Ningaloo Bed Runner Stonewashed Blue 100% linen Size 140x260 Printed and made in Australia,published,,,,,,,,,,,,,TRUE,,,Ningaloo Bed Runner Stonewashed Blue 100% linen Size 140x260 Printed and made in Australia,Colour,Blue,Size,140cm x 260cm,,BL_NING_BRB260,,FALSE,TRUE,,,,,,,,,,579,,,,
,bl-ning-br,NINGALOO Bed Runner,,Ningaloo Bed Runner Stonewashed Pink 100% linen Size 140x220 Printed and made in Australia,published,,,,,,,,,,,,,TRUE,,,Ningaloo Bed Runner Stonewashed Pink 100% linen Size 140x220 Printed and made in Australia,Colour,Pink,Size,140cm x 220cm,,BL_NING_BEP220,,FALSE,TRUE,,,,,,,,,,569,,,,
,bl-ning-br,NINGALOO Bed Runner,,Ningaloo Bed Runner Stonewashed Pink 100% linen Size 140x260 Printed and made in Australia,published,,,,,,,,,,,,,TRUE,,,Ningaloo Bed Runner Stonewashed Pink 100% linen Size 140x260 Printed and made in Australia,Colour,Pink,Size,140cm x 260cm,,BL_NING_BRP260,,FALSE,TRUE,,,,,,,,,,579,,,,
,bl-ning-br,NINGALOO Bed Runner,,Ningaloo Bed Runner Stonewashed Grey 100% linen Size 140x220 Printed and made in Australia,published,,,,,,,,,,,,,TRUE,,,Ningaloo Bed Runner Stonewashed Grey 100% linen Size 140x220 Printed and made in Australia,Colour,Grey,Size,140cm x 220cm,,BL_NING_BRG220,,FALSE,TRUE,,,,,,,,,,569,,,,
,bl-ning-br,NINGALOO Bed Runner,,Ningaloo Bed Runner Stonewashed Grey 100% linen Size 140x260 Printed and made in Australia,published,,,,,,,,,,,,,TRUE,,,Ningaloo Bed Runner Stonewashed Grey 100% linen Size 140x260 Printed and made in Australia,Colour,Grey,Size,140cm x 260cm,,BL_NING_BRG260,,FALSE,TRUE,,,,,,,,,,579,,,,
,bl-ning-dc,NINGALOO Doona Cover,,Ningaloo Doona Cover Stonewashed Blue 100% linen Size King 240x210 Printed and made in Australia,published,,,,,,,,,,,,,TRUE,,,Ningaloo Doona Cover Stonewashed Blue 100% linen Size King 240x210 Printed and made in Australia,Colour,Blue,Size,King - 240cm x 210cm,,BL_NING_DCBK,,FALSE,TRUE,,,,,,,,,,1300,,,,
